IGR [€ or t_CO2],cllp,fine,omf,ppsa
capex (ppcd),0,0,0,0
costs (sim),202437193,202259102,202259102,202259102
emissions (sim),441567,443159,443159,443159
opex (ppcd),202437194,202259103,202259103,202259103
