Load-District Heating [MW],cllp,fine,omf,ppsa
BHKW,-46710,-46710,-46710,-46710
District Heating Demand,865459,865459,865459,865459
HKW,-591626,-591626,-591626,-591626
Power to Heat,-141680,-141680,-141680,-141680
Solar Thermal,-85441,-85441,-85441,-85441
