IGR [€ or t_CO2],cllp,fine,omf,ppsa
capex (ppcd),0,0,0,0
costs (sim),231793808,231793807,231793807,231793807
emissions (sim),482759,482759,482759,482759
opex (ppcd),231793807,231793807,231793806,231793807
