Time [s],cllp,fine,omf,ppsa
reading,0.5,0.4,0.4,0.4
parsing,0.4,0.4,0.4,0.4
transformation,1.7,0.3,0.0,0.7
optimization,2.3,0.9,0.5,0.9
post_processing,4.4,1.0,0.9,1.0
result,9.3,3.0,2.2,3.5
