Nodes,cllp,fine,omf,ppsa
High Medium Transfer,60000,60000,60000,60000
Medium High Transfer,60000,60000,60000,60000
Medium Low Transfer,60000,60000,60000,60000
Low Medium Transfer,60000,60000,60000,60000
