IGR [€ or t_CO2],cllp,fine,omf,ppsa
capex (ppcd),0,0,0,0
costs (sim),688509346,688283345,688509325,688509325
emissions (sim),6778376,6542108,6815007,6838219
opex (ppcd),688509352,688283344,688509325,688509325
