Load-District Heating [MW],cllp,fine,omf,ppsa
BHKW,-19562,-13825,-13825,-13825
District Heating Demand,865459,865459,865459,865459
HKW,-588437,-594174,-594174,-594174
Power to Heat,-172017,-172017,-172017,-172017
Solar Thermal,-85441,-85441,-85441,-85441
