Time [s],cllp,fine,omf,ppsa
reading,0.5,0.5,0.5,1.1
parsing,0.4,0.4,0.4,0.9
transformation,1.7,0.3,0.0,1.6
optimization,2.5,0.9,0.5,1.6
post_processing,4.6,1.1,1.2,1.8
result,9.7,3.1,2.6,6.9
