IGR [€ or t_CO2],cllp,fine,omf,ppsa
capex (ppcd),0,0,0,0
costs (sim),315601734,315601734,315601734,315601734
emissions (sim),476089,449817,476089,449817
opex (ppcd),315601732,315601732,315601732,315601732
