Nodes,cllp,fine,omf,ppsa
High Medium Transfer,69567,69567,69567,69567
Medium High Transfer,20000,18600,20000,19999
Medium Low Transfer,53955,53955,53955,53955
Low Medium Transfer,30432,30432,30432,30432
