Load-District Heating [MW],cllp,fine,omf,ppsa
BHKW,-30823,-30823,-30823,-30823
District Heating Demand,865459,865459,865459,865459
HKW,-607514,-607514,-607514,-607514
Power to Heat,-141680,-141680,-141680,-141680
Solar Thermal,-85441,-85441,-85441,-85441
