,,cllp,fine,omf,ppsa
BHKW,District Heating,5333,2256,2256,2256
BHKW,Low Voltage Grid,0,3077,3077,3077
Deficit Source LV,Low Voltage Grid,4146,4146,4146,4146
GuD,High Voltage Grid,55083,55083,55083,55083
HKW,District Heating,302809,178002,178002,178002
HKW,High Voltage Grid,0,124808,124808,124808
HKW2,High Voltage Grid,116890,116890,116890,116890
