IGR [€ or t_CO2],cllp,fine,omf,ppsa
capex (ppcd),41554917514,41554976118,41554977878,36904768288
costs (sim),42289121225,42289118279,42289118239,37727776780
emissions (sim),250000,250000,250000,265508
opex (ppcd),734204228,734140364,734140364,823007841
