Time [s],cllp,fine,ppsa,omf
reading,0.2,0.2,0.2,0.2
parsing,0.2,0.2,0.2,0.2
transformation,6.3,0.1,1.9,0.0
optimization,1000.1,626.3,456.5,1341.2
post_processing,6.3,3.3,2.5,3.1
result,1013.1,630.1,461.4,1344.8
