,PyPSA,Calliope,FINE,oemof
2019-02-25 18:00:00,0,0,0,0
2019-02-25 19:00:00,246.37925,0,0,0
2019-02-25 20:00:00,620.2189,0,0,0
2019-02-25 21:00:00,786.27675,0,0,0
2019-02-25 22:00:00,765.84523,0,0,0
2019-02-25 23:00:00,807.46484,0,0,0
2019-02-26 00:00:00,397.59895,0,0,0
2019-02-26 01:00:00,158.77157,218.42884,218.42884,218.42884
2019-02-26 02:00:00,126.15425,597.36887,597.36887,597.36887
2019-02-26 03:00:00,112.88814,582.38345,582.38345,582.38345
2019-02-26 04:00:00,64.148647,529.39818,529.39818,529.39818
2019-02-26 05:00:00,19.843143,309.51233,309.51233,309.51233
2019-02-26 06:00:00,19.843143,11.076918,11.076918,11.076918
2019-02-26 07:00:00,0,11.076918,11.076918,11.076918
2019-02-26 08:00:00,0,0,0,0
