,PyPSA,Calliope,FINE,oemof
2019-01-09 23:00:00,0,0,0,0
2019-01-10 00:00:00,0,0,0,0
2019-01-10 01:00:00,0,0,0,0
2019-01-10 02:00:00,2.3846299,0,0,0
2019-01-10 03:00:00,1244.165,0,0,0
2019-01-10 04:00:00,1244.165,0,0,0
2019-01-10 05:00:00,952.58268,47.941882,47.941882,47.941882
2019-01-10 06:00:00,511.01876,694.52278,694.52278,694.52278
2019-01-10 07:00:00,69.695111,628.07366,628.07366,628.07366
2019-01-10 08:00:00,19.843143,203.12651,203.12651,203.12651
2019-01-10 09:00:00,19.843143,0,0,0
2019-01-10 10:00:00,0,0,0,0
2019-01-10 11:00:00,0,0,0,0
2019-01-10 12:00:00,0,0,0,0
2019-01-10 13:00:00,0,0,0,0
