,PyPSA,Calliope,FINE,oemof
2019-02-23 20:00:00,0,0,0,0
2019-02-23 21:00:00,0,0,0,0
2019-02-23 22:00:00,0,0,0,0
2019-02-23 23:00:00,1087.0944,0,0,0
2019-02-24 00:00:00,940.85051,0,0,0
2019-02-24 01:00:00,612.40118,0,0,0
2019-02-24 02:00:00,398.23302,0,0,0
2019-02-24 03:00:00,330.03198,0,0,0
2019-02-24 04:00:00,268.86803,0,0,0
2019-02-24 05:00:00,240.24547,0,0,0
2019-02-24 06:00:00,188.13303,455.04712,455.04712,455.04712
2019-02-24 07:00:00,19.843143,401.17268,401.17268,401.17268
2019-02-24 08:00:00,19.843143,0,0,0
2019-02-24 09:00:00,0,0,0,0
2019-02-24 10:00:00,0,0,0,0
