id;pv_load;st_load;won_load;woff_load
2504;0;0;43520.8641;12259.39834
2505;3788.780995;545.5844633;43664.6555;12299.90296
2506;23545.91486;3390.611739;36630.85946;10318.55196
2507;48067.61326;6921.73631;26343.78296;7420.783933
2508;73939.86389;10647.3404;25663.76946;7229.230834
2509;91302.50566;13147.56081;29453.27201;8296.696342
2510;99605.82317;14343.23854;35624.31965;10035.01962
2511;92519.75212;13322.84431;42280.66326;11910.04599
2512;77182.66533;11114.30381;44012.15139;12397.78912
2513;54296.53651;7818.701258;45315.26096;12764.86224
2514;26204.10268;3773.390786;40621.07084;11442.55517
2515;2893.272479;416.6312369;39003.41758;10986.87819
2516;0;0;45599.84811;12845.02764
2517;0;0;50297.03388;14168.17856
2518;0;0;54613.77157;15384.16101
2519;0;0;59652.46192;16803.5104
2520;0;0;66599.38399;18760.38986
2521;0;0;61321.04131;17273.53276
2522;0;0;57645.37361;16238.13341
2523;0;0;55988.77684;15771.48644
2524;0;0;52771.44424;14865.19556
2525;0;0;52130.37425;14684.61246
2526;0;0;47729.75824;13445.00232
2527;0;0;43383.06401;12220.58141
2528;0;0;43520.8641;12259.39834
2529;3788.780995;545.5844633;43664.6555;12299.90296
2530;23545.91486;3390.611739;36630.85946;10318.55196
2531;48067.61326;6921.73631;26343.78296;7420.783933
2532;73939.86389;10647.3404;25663.76946;7229.230834
2533;91302.50566;13147.56081;29453.27201;8296.696342
2534;99605.82317;14343.23854;35624.31965;10035.01962
2535;92519.75212;13322.84431;42280.66326;11910.04599
2536;77182.66533;11114.30381;44012.15139;12397.78912
2537;54296.53651;7818.701258;45315.26096;12764.86224
2538;26204.10268;3773.390786;40621.07084;11442.55517
2539;2893.272479;416.6312369;39003.41758;10986.87819
2540;0;0;45599.84811;12845.02764
2541;0;0;50297.03388;14168.17856
2542;0;0;54613.77157;15384.16101
2543;0;0;59652.46192;16803.5104
2544;0;0;66599.38399;18760.38986
2545;0;0;61321.04131;17273.53276
2546;0;0;57645.37361;16238.13341
2547;0;0;55988.77684;15771.48644
2548;0;0;52771.44424;14865.19556
2549;0;0;52130.37425;14684.61246
2550;0;0;47729.75824;13445.00232
2551;0;0;43383.06401;12220.58141
2552;0;0;43520.8641;12259.39834
2553;3788.780995;545.5844633;43664.6555;12299.90296
2554;23545.91486;3390.611739;36630.85946;10318.55196
2555;48067.61326;6921.73631;26343.78296;7420.783933
2556;73939.86389;10647.3404;25663.76946;7229.230834
2557;91302.50566;13147.56081;29453.27201;8296.696342
2558;99605.82317;14343.23854;35624.31965;10035.01962
2559;92519.75212;13322.84431;42280.66326;11910.04599
2560;77182.66533;11114.30381;44012.15139;12397.78912
2561;54296.53651;7818.701258;45315.26096;12764.86224
2562;26204.10268;3773.390786;40621.07084;11442.55517
2563;2893.272479;416.6312369;39003.41758;10986.87819
2564;0;0;45599.84811;12845.02764
2565;0;0;50297.03388;14168.17856
2566;0;0;54613.77157;15384.16101
2567;0;0;59652.46192;16803.5104
2568;0;0;66599.38399;18760.38986
2569;0;0;61321.04131;17273.53276
2570;0;0;57645.37361;16238.13341
2571;0;0;55988.77684;15771.48644
2572;0;0;52771.44424;14865.19556
2573;0;0;52130.37425;14684.61246
2574;0;0;47729.75824;13445.00232
2575;0;0;43383.06401;12220.58141
2576;0;0;43520.8641;12259.39834
2577;3788.780995;545.5844633;43664.6555;12299.90296
2578;23545.91486;3390.611739;36630.85946;10318.55196
2579;48067.61326;6921.73631;26343.78296;7420.783933
2580;73939.86389;10647.3404;25663.76946;7229.230834
2581;91302.50566;13147.56081;29453.27201;8296.696342
2582;99605.82317;14343.23854;35624.31965;10035.01962
2583;92519.75212;13322.84431;42280.66326;11910.04599
2584;77182.66533;11114.30381;44012.15139;12397.78912
2585;54296.53651;7818.701258;45315.26096;12764.86224
2586;26204.10268;3773.390786;40621.07084;11442.55517
2587;2893.272479;416.6312369;39003.41758;10986.87819
2588;0;0;45599.84811;12845.02764
2589;0;0;50297.03388;14168.17856
2590;0;0;54613.77157;15384.16101
2591;0;0;59652.46192;16803.5104
2592;0;0;66599.38399;18760.38986
2593;0;0;61321.04131;17273.53276
2594;0;0;57645.37361;16238.13341
2595;0;0;55988.77684;15771.48644
2596;0;0;52771.44424;14865.19556
2597;0;0;52130.37425;14684.61246
2598;0;0;47729.75824;13445.00232
2599;0;0;43383.06401;12220.58141
2600;0;0;43520.8641;12259.39834
2601;3788.780995;545.5844633;43664.6555;12299.90296
2602;23545.91486;3390.611739;36630.85946;10318.55196
2603;48067.61326;6921.73631;26343.78296;7420.783933
2604;73939.86389;10647.3404;25663.76946;7229.230834
2605;91302.50566;13147.56081;29453.27201;8296.696342
2606;99605.82317;14343.23854;35624.31965;10035.01962
2607;92519.75212;13322.84431;42280.66326;11910.04599
2608;77182.66533;11114.30381;44012.15139;12397.78912
2609;54296.53651;7818.701258;45315.26096;12764.86224
2610;26204.10268;3773.390786;40621.07084;11442.55517
2611;2893.272479;416.6312369;39003.41758;10986.87819
2612;0;0;45599.84811;12845.02764
2613;0;0;50297.03388;14168.17856
2614;0;0;54613.77157;15384.16101
2615;0;0;59652.46192;16803.5104
2616;0;0;66599.38399;18760.38986
2617;0;0;61321.04131;17273.53276
2618;0;0;57645.37361;16238.13341
2619;0;0;55988.77684;15771.48644
2620;0;0;52771.44424;14865.19556
2621;0;0;52130.37425;14684.61246
2622;0;0;47729.75824;13445.00232
2623;0;0;43383.06401;12220.58141
2624;0;0;43520.8641;12259.39834
2625;3788.780995;545.5844633;43664.6555;12299.90296
2626;23545.91486;3390.611739;36630.85946;10318.55196
2627;48067.61326;6921.73631;26343.78296;7420.783933
2628;73939.86389;10647.3404;25663.76946;7229.230834
2629;91302.50566;13147.56081;29453.27201;8296.696342
2630;99605.82317;14343.23854;35624.31965;10035.01962
2631;92519.75212;13322.84431;42280.66326;11910.04599
2632;77182.66533;11114.30381;44012.15139;12397.78912
2633;54296.53651;7818.701258;45315.26096;12764.86224
2634;26204.10268;3773.390786;40621.07084;11442.55517
2635;2893.272479;416.6312369;39003.41758;10986.87819
2636;0;0;45599.84811;12845.02764
2637;0;0;50297.03388;14168.17856
2638;0;0;54613.77157;15384.16101
2639;0;0;59652.46192;16803.5104
2640;0;0;66599.38399;18760.38986
2641;0;0;61321.04131;17273.53276
2642;0;0;57645.37361;16238.13341
2643;0;0;55988.77684;15771.48644
2644;0;0;52771.44424;14865.19556
2645;0;0;52130.37425;14684.61246
2646;0;0;47729.75824;13445.00232
2647;0;0;43383.06401;12220.58141
2648;0;0;43520.8641;12259.39834
2649;3788.780995;545.5844633;43664.6555;12299.90296
2650;23545.91486;3390.611739;36630.85946;10318.55196
2651;48067.61326;6921.73631;26343.78296;7420.783933
2652;73939.86389;10647.3404;25663.76946;7229.230834
2653;91302.50566;13147.56081;29453.27201;8296.696342
2654;99605.82317;14343.23854;35624.31965;10035.01962
2655;92519.75212;13322.84431;42280.66326;11910.04599
2656;77182.66533;11114.30381;44012.15139;12397.78912
2657;54296.53651;7818.701258;45315.26096;12764.86224
2658;26204.10268;3773.390786;40621.07084;11442.55517
2659;2893.272479;416.6312369;39003.41758;10986.87819
2660;0;0;45599.84811;12845.02764
2661;0;0;50297.03388;14168.17856
2662;0;0;54613.77157;15384.16101
2663;0;0;59652.46192;16803.5104
2664;0;0;66599.38399;18760.38986
2665;0;0;61321.04131;17273.53276
2666;0;0;57645.37361;16238.13341
2667;0;0;55988.77684;15771.48644
2668;0;0;52771.44424;14865.19556
2669;0;0;52130.37425;14684.61246
2670;0;0;47729.75824;13445.00232
2671;0;0;43383.06401;12220.58141
2672;0;0;43520.8641;12259.39834
2673;3788.780995;545.5844633;43664.6555;12299.90296
2674;23545.91486;3390.611739;36630.85946;10318.55196
2675;48067.61326;6921.73631;26343.78296;7420.783933
2676;73939.86389;10647.3404;25663.76946;7229.230834
2677;91302.50566;13147.56081;29453.27201;8296.696342
2678;99605.82317;14343.23854;35624.31965;10035.01962
2679;92519.75212;13322.84431;42280.66326;11910.04599
2680;77182.66533;11114.30381;44012.15139;12397.78912
2681;54296.53651;7818.701258;45315.26096;12764.86224
2682;26204.10268;3773.390786;40621.07084;11442.55517
2683;2893.272479;416.6312369;39003.41758;10986.87819
2684;0;0;45599.84811;12845.02764
2685;0;0;50297.03388;14168.17856
2686;0;0;54613.77157;15384.16101
2687;0;0;59652.46192;16803.5104
2688;0;0;66599.38399;18760.38986
2689;0;0;61321.04131;17273.53276
2690;0;0;57645.37361;16238.13341
2691;0;0;55988.77684;15771.48644
2692;0;0;52771.44424;14865.19556
2693;0;0;52130.37425;14684.61246
2694;0;0;47729.75824;13445.00232
2695;0;0;43383.06401;12220.58141
2696;0;0;43520.8641;12259.39834
2697;3788.780995;545.5844633;43664.6555;12299.90296
2698;23545.91486;3390.611739;36630.85946;10318.55196
2699;48067.61326;6921.73631;26343.78296;7420.783933
2700;73939.86389;10647.3404;25663.76946;7229.230834
2701;91302.50566;13147.56081;29453.27201;8296.696342
2702;99605.82317;14343.23854;35624.31965;10035.01962
2703;92519.75212;13322.84431;42280.66326;11910.04599
2704;77182.66533;11114.30381;44012.15139;12397.78912
2705;54296.53651;7818.701258;45315.26096;12764.86224
2706;26204.10268;3773.390786;40621.07084;11442.55517
2707;2893.272479;416.6312369;39003.41758;10986.87819
2708;0;0;45599.84811;12845.02764
2709;0;0;50297.03388;14168.17856
2710;0;0;54613.77157;15384.16101
2711;0;0;59652.46192;16803.5104
2712;0;0;66599.38399;18760.38986
2713;0;0;61321.04131;17273.53276
2714;0;0;57645.37361;16238.13341
2715;0;0;55988.77684;15771.48644
2716;0;0;52771.44424;14865.19556
2717;0;0;52130.37425;14684.61246
2718;0;0;47729.75824;13445.00232
2719;0;0;43383.06401;12220.58141
2720;0;0;43520.8641;12259.39834
2721;3788.780995;545.5844633;43664.6555;12299.90296
2722;23545.91486;3390.611739;36630.85946;10318.55196
2723;48067.61326;6921.73631;26343.78296;7420.783933
2724;73939.86389;10647.3404;25663.76946;7229.230834
2725;91302.50566;13147.56081;29453.27201;8296.696342
2726;99605.82317;14343.23854;35624.31965;10035.01962
2727;92519.75212;13322.84431;42280.66326;11910.04599
2728;77182.66533;11114.30381;44012.15139;12397.78912
2729;54296.53651;7818.701258;45315.26096;12764.86224
2730;26204.10268;3773.390786;40621.07084;11442.55517
2731;2893.272479;416.6312369;39003.41758;10986.87819
2732;0;0;45599.84811;12845.02764
2733;0;0;50297.03388;14168.17856
2734;0;0;54613.77157;15384.16101
2735;0;0;59652.46192;16803.5104
2736;0;0;66599.38399;18760.38986
2737;0;0;61321.04131;17273.53276
2738;0;0;57645.37361;16238.13341
2739;0;0;55988.77684;15771.48644
2740;0;0;52771.44424;14865.19556
2741;0;0;52130.37425;14684.61246
2742;0;0;47729.75824;13445.00232
2743;0;0;43383.06401;12220.58141
2744;0;0;43520.8641;12259.39834
2745;3788.780995;545.5844633;43664.6555;12299.90296
2746;23545.91486;3390.611739;36630.85946;10318.55196
2747;48067.61326;6921.73631;26343.78296;7420.783933
2748;73939.86389;10647.3404;25663.76946;7229.230834
2749;91302.50566;13147.56081;29453.27201;8296.696342
2750;99605.82317;14343.23854;35624.31965;10035.01962
2751;92519.75212;13322.84431;42280.66326;11910.04599
2752;77182.66533;11114.30381;44012.15139;12397.78912
2753;54296.53651;7818.701258;45315.26096;12764.86224
2754;26204.10268;3773.390786;40621.07084;11442.55517
2755;2893.272479;416.6312369;39003.41758;10986.87819
2756;0;0;45599.84811;12845.02764
2757;0;0;50297.03388;14168.17856
2758;0;0;54613.77157;15384.16101
2759;0;0;59652.46192;16803.5104
2760;0;0;66599.38399;18760.38986
2761;0;0;61321.04131;17273.53276
2762;0;0;57645.37361;16238.13341
2763;0;0;55988.77684;15771.48644
2764;0;0;52771.44424;14865.19556
2765;0;0;52130.37425;14684.61246
2766;0;0;47729.75824;13445.00232
2767;0;0;43383.06401;12220.58141
2768;0;0;43520.8641;12259.39834
2769;3788.780995;545.5844633;43664.6555;12299.90296
2770;23545.91486;3390.611739;36630.85946;10318.55196
2771;48067.61326;6921.73631;26343.78296;7420.783933
2772;73939.86389;10647.3404;25663.76946;7229.230834
2773;91302.50566;13147.56081;29453.27201;8296.696342
2774;99605.82317;14343.23854;35624.31965;10035.01962
2775;92519.75212;13322.84431;42280.66326;11910.04599
2776;77182.66533;11114.30381;44012.15139;12397.78912
2777;54296.53651;7818.701258;45315.26096;12764.86224
2778;26204.10268;3773.390786;40621.07084;11442.55517
2779;2893.272479;416.6312369;39003.41758;10986.87819
2780;0;0;45599.84811;12845.02764
2781;0;0;50297.03388;14168.17856
2782;0;0;54613.77157;15384.16101
2783;0;0;59652.46192;16803.5104
2784;0;0;66599.38399;18760.38986
2785;0;0;61321.04131;17273.53276
2786;0;0;57645.37361;16238.13341
2787;0;0;55988.77684;15771.48644
2788;0;0;52771.44424;14865.19556
2789;0;0;52130.37425;14684.61246
2790;0;0;47729.75824;13445.00232
2791;0;0;43383.06401;12220.58141
2792;0;0;43520.8641;12259.39834
2793;3788.780995;545.5844633;43664.6555;12299.90296
2794;23545.91486;3390.611739;36630.85946;10318.55196
2795;48067.61326;6921.73631;26343.78296;7420.783933
2796;73939.86389;10647.3404;25663.76946;7229.230834
2797;91302.50566;13147.56081;29453.27201;8296.696342
2798;99605.82317;14343.23854;35624.31965;10035.01962
2799;92519.75212;13322.84431;42280.66326;11910.04599
2800;77182.66533;11114.30381;44012.15139;12397.78912
2801;54296.53651;7818.701258;45315.26096;12764.86224
2802;26204.10268;3773.390786;40621.07084;11442.55517
2803;2893.272479;416.6312369;39003.41758;10986.87819
2804;0;0;45599.84811;12845.02764
2805;0;0;50297.03388;14168.17856
2806;0;0;54613.77157;15384.16101
2807;0;0;59652.46192;16803.5104
2808;0;0;66599.38399;18760.38986
2809;0;0;61321.04131;17273.53276
2810;0;0;57645.37361;16238.13341
2811;0;0;55988.77684;15771.48644
2812;0;0;52771.44424;14865.19556
2813;0;0;52130.37425;14684.61246
2814;0;0;47729.75824;13445.00232
2815;0;0;43383.06401;12220.58141
2816;0;0;43520.8641;12259.39834
2817;3788.780995;545.5844633;43664.6555;12299.90296
2818;23545.91486;3390.611739;36630.85946;10318.55196
2819;48067.61326;6921.73631;26343.78296;7420.783933
2820;73939.86389;10647.3404;25663.76946;7229.230834
2821;91302.50566;13147.56081;29453.27201;8296.696342
2822;99605.82317;14343.23854;35624.31965;10035.01962
2823;92519.75212;13322.84431;42280.66326;11910.04599
2824;77182.66533;11114.30381;44012.15139;12397.78912
2825;54296.53651;7818.701258;45315.26096;12764.86224
2826;26204.10268;3773.390786;40621.07084;11442.55517
2827;2893.272479;416.6312369;39003.41758;10986.87819
2828;0;0;45599.84811;12845.02764
2829;0;0;50297.03388;14168.17856
2830;0;0;54613.77157;15384.16101
2831;0;0;59652.46192;16803.5104
2832;0;0;66599.38399;18760.38986
2833;0;0;61321.04131;17273.53276
2834;0;0;57645.37361;16238.13341
2835;0;0;55988.77684;15771.48644
2836;0;0;52771.44424;14865.19556
2837;0;0;52130.37425;14684.61246
2838;0;0;47729.75824;13445.00232
2839;0;0;43383.06401;12220.58141
2840;0;0;43520.8641;12259.39834
2841;3788.780995;545.5844633;43664.6555;12299.90296
2842;23545.91486;3390.611739;36630.85946;10318.55196
2843;48067.61326;6921.73631;26343.78296;7420.783933
2844;73939.86389;10647.3404;25663.76946;7229.230834
2845;91302.50566;13147.56081;29453.27201;8296.696342
2846;99605.82317;14343.23854;35624.31965;10035.01962
2847;92519.75212;13322.84431;42280.66326;11910.04599
2848;77182.66533;11114.30381;44012.15139;12397.78912
2849;54296.53651;7818.701258;45315.26096;12764.86224
2850;26204.10268;3773.390786;40621.07084;11442.55517
2851;2893.272479;416.6312369;39003.41758;10986.87819
2852;0;0;45599.84811;12845.02764
2853;0;0;50297.03388;14168.17856
2854;0;0;54613.77157;15384.16101
2855;0;0;59652.46192;16803.5104
2856;0;0;66599.38399;18760.38986
2857;0;0;61321.04131;17273.53276
2858;0;0;57645.37361;16238.13341
2859;0;0;55988.77684;15771.48644
2860;0;0;52771.44424;14865.19556
2861;0;0;52130.37425;14684.61246
2862;0;0;47729.75824;13445.00232
2863;0;0;43383.06401;12220.58141
2864;0;0;43520.8641;12259.39834
2865;3788.780995;545.5844633;43664.6555;12299.90296
2866;23545.91486;3390.611739;36630.85946;10318.55196
2867;48067.61326;6921.73631;26343.78296;7420.783933
2868;73939.86389;10647.3404;25663.76946;7229.230834
2869;91302.50566;13147.56081;29453.27201;8296.696342
2870;99605.82317;14343.23854;35624.31965;10035.01962
2871;92519.75212;13322.84431;42280.66326;11910.04599
2872;77182.66533;11114.30381;44012.15139;12397.78912
2873;54296.53651;7818.701258;45315.26096;12764.86224
2874;26204.10268;3773.390786;40621.07084;11442.55517
2875;2893.272479;416.6312369;39003.41758;10986.87819
2876;0;0;45599.84811;12845.02764
2877;0;0;50297.03388;14168.17856
2878;0;0;54613.77157;15384.16101
2879;0;0;59652.46192;16803.5104
2880;0;0;66599.38399;18760.38986
2881;0;0;61321.04131;17273.53276
2882;0;0;57645.37361;16238.13341
2883;0;0;55988.77684;15771.48644
2884;0;0;52771.44424;14865.19556
2885;0;0;52130.37425;14684.61246
2886;0;0;47729.75824;13445.00232
2887;0;0;43383.06401;12220.58141
2888;0;0;43520.8641;12259.39834
2889;3788.780995;545.5844633;43664.6555;12299.90296
2890;23545.91486;3390.611739;36630.85946;10318.55196
2891;48067.61326;6921.73631;26343.78296;7420.783933
2892;73939.86389;10647.3404;25663.76946;7229.230834
2893;91302.50566;13147.56081;29453.27201;8296.696342
2894;99605.82317;14343.23854;35624.31965;10035.01962
2895;92519.75212;13322.84431;42280.66326;11910.04599
2896;77182.66533;11114.30381;44012.15139;12397.78912
2897;54296.53651;7818.701258;45315.26096;12764.86224
2898;26204.10268;3773.390786;40621.07084;11442.55517
2899;2893.272479;416.6312369;39003.41758;10986.87819
2900;0;0;45599.84811;12845.02764
2901;0;0;50297.03388;14168.17856
2902;0;0;54613.77157;15384.16101
2903;0;0;59652.46192;16803.5104
2904;0;0;66599.38399;18760.38986
2905;0;0;61321.04131;17273.53276
2906;0;0;57645.37361;16238.13341
2907;0;0;55988.77684;15771.48644
2908;0;0;52771.44424;14865.19556
2909;0;0;52130.37425;14684.61246
2910;0;0;47729.75824;13445.00232
2911;0;0;43383.06401;12220.58141
2912;0;0;43520.8641;12259.39834
2913;3788.780995;545.5844633;43664.6555;12299.90296
2914;23545.91486;3390.611739;36630.85946;10318.55196
2915;48067.61326;6921.73631;26343.78296;7420.783933
2916;73939.86389;10647.3404;25663.76946;7229.230834
2917;91302.50566;13147.56081;29453.27201;8296.696342
2918;99605.82317;14343.23854;35624.31965;10035.01962
2919;92519.75212;13322.84431;42280.66326;11910.04599
2920;77182.66533;11114.30381;44012.15139;12397.78912
2921;54296.53651;7818.701258;45315.26096;12764.86224
2922;26204.10268;3773.390786;40621.07084;11442.55517
2923;2893.272479;416.6312369;39003.41758;10986.87819
2924;0;0;45599.84811;12845.02764
2925;0;0;50297.03388;14168.17856
2926;0;0;54613.77157;15384.16101
2927;0;0;59652.46192;16803.5104
2928;0;0;66599.38399;18760.38986
2929;0;0;61321.04131;17273.53276
2930;0;0;57645.37361;16238.13341
2931;0;0;55988.77684;15771.48644
2932;0;0;52771.44424;14865.19556
2933;0;0;52130.37425;14684.61246
2934;0;0;47729.75824;13445.00232
2935;0;0;43383.06401;12220.58141
2936;0;0;43520.8641;12259.39834
2937;3788.780995;545.5844633;43664.6555;12299.90296
2938;23545.91486;3390.611739;36630.85946;10318.55196
2939;48067.61326;6921.73631;26343.78296;7420.783933
2940;73939.86389;10647.3404;25663.76946;7229.230834
2941;91302.50566;13147.56081;29453.27201;8296.696342
2942;99605.82317;14343.23854;35624.31965;10035.01962
2943;92519.75212;13322.84431;42280.66326;11910.04599
2944;77182.66533;11114.30381;44012.15139;12397.78912
2945;54296.53651;7818.701258;45315.26096;12764.86224
2946;26204.10268;3773.390786;40621.07084;11442.55517
2947;2893.272479;416.6312369;39003.41758;10986.87819
2948;0;0;45599.84811;12845.02764
2949;0;0;50297.03388;14168.17856
2950;0;0;54613.77157;15384.16101
2951;0;0;59652.46192;16803.5104
2952;0;0;66599.38399;18760.38986
2953;0;0;61321.04131;17273.53276
2954;0;0;57645.37361;16238.13341
2955;0;0;55988.77684;15771.48644
2956;0;0;52771.44424;14865.19556
2957;0;0;52130.37425;14684.61246
2958;0;0;47729.75824;13445.00232
2959;0;0;43383.06401;12220.58141
2960;0;0;43520.8641;12259.39834
