;0
0;0.0
1;0.0
2;0.0
3;0.0
4;0.0
5;0.0
6;0.0
7;0.0
8;0.0
9;0.33248520187590086
10;1.8669108933931575
11;4.676047335025966
12;6.387745314074804
13;5.736911890541599
14;4.627410147569464
15;0.0
16;0.0
17;0.0
18;0.0
19;0.0
20;0.0
21;0.0
22;0.0
23;0.0
24;0.0
25;0.0
26;0.0
27;0.0
28;0.0
29;0.0
30;0.0
31;0.0
32;0.0
33;0.7494046583175535
34;3.7303403541451967
35;6.9658968893411375
36;9.15498503433979
37;10.199631843996718
38;9.311404549174586
39;0.0
40;0.0
41;0.0
42;0.0
43;0.0
44;0.0
45;0.0
46;0.0
47;0.0
48;0.0
49;0.0
50;0.0
51;0.0
52;0.0
53;0.0
54;0.0
55;0.0
56;0.0
57;0.8657805302588388
58;3.548055787454664
59;5.388654257179691
60;6.156176276029204
61;9.066075841934625
62;6.591086081556825
63;0.0
64;0.0
65;0.0
66;0.0
67;0.0
68;0.0
69;0.0
70;0.0
71;0.0
72;0.0
73;0.0
74;0.0
75;0.0
76;0.0
77;0.0
78;0.0
79;0.0
80;0.0
81;0.11393776322602708
82;0.5539247200360256
83;0.8074964303373828
84;0.4445227742695764
85;0.5850521509783966
86;0.25452599385506036
87;0.0
88;0.0
89;0.0
90;0.0
91;0.0
92;0.0
93;0.0
94;0.0
95;0.0
96;0.0
97;0.0
98;0.0
99;0.0
100;0.0
101;0.0
102;0.0
103;0.0
104;0.0
105;0.05662865536034588
106;0.2889330767951791
107;0.810270249543981
108;1.5629900679464375
109;0.9123730607976096
110;0.7853832181626172
111;0.35229596732851903
112;0.0
113;0.0
114;0.0
115;0.0
116;0.0
117;0.0
118;0.0
119;0.0
120;0.0
121;0.0
122;0.0
123;0.0
124;0.0
125;0.0
126;0.0
127;0.0
128;0.0
129;0.18213250312833362
130;0.6989353598948009
131;0.9694591306516669
132;1.0204525158972961
133;0.8418036762022817
134;0.4433098401637903
135;0.09094991077584522
136;0.0
137;0.0
138;0.0
139;0.0
140;0.0
141;0.0
142;0.0
143;0.0
144;0.0
145;0.0
146;0.0
147;0.0
148;0.0
149;0.0
150;0.0
151;0.0
152;0.0
153;0.09291729377074172
154;0.7600104837345788
155;1.9789612966169106
156;3.130905414354105
157;2.0097297740617
158;0.6087601289048463
159;0.046123850707125456
160;0.0
161;0.0
162;0.0
163;0.0
164;0.0
165;0.0
166;0.0
167;0.0
168;0.0
169;0.0
170;0.0
171;0.0
172;0.0
173;0.0
174;0.0
175;0.0
176;0.0
177;0.11350531705564107
178;0.875109728218563
179;1.0781155824724948
180;1.522085099327208
181;1.6245524687861992
182;2.6336806781884503
183;4.336085221960299
184;0.0
185;0.0
186;0.0
187;0.0
188;0.0
189;0.0
190;0.0
191;0.0
192;0.0
193;0.0
194;0.0
195;0.0
196;0.0
197;0.0
198;0.0
199;0.0
200;0.0
201;0.2020199463834198
202;0.5678786333695129
203;1.1943741849847138
204;1.4351317543633049
205;1.1676477202607598
206;1.2529923681574378
207;2.930898012308371
208;0.0
209;0.0
210;0.0
211;0.0
212;0.0
213;0.0
214;0.0
215;0.0
216;0.0
217;0.0
218;0.0
219;0.0
220;0.0
221;0.0
222;0.0
223;0.0
224;0.0
225;0.5282433131461122
226;2.6834069280922543
227;3.2531846617075058
228;4.071349547431423
229;3.699937560171331
230;2.890949913477505
231;1.9345397460113731
232;0.0
233;0.0
234;0.0
235;0.0
236;0.0
237;0.0
238;0.0
239;0.0
240;0.0
241;0.0
242;0.0
243;0.0
244;0.0
245;0.0
246;0.0
247;0.0
248;0.0
249;0.019932187553768597
250;0.16474368685131538
251;0.4047098556628492
252;0.531676199736875
253;0.8730150206928712
254;0.46382757033587946
255;1.3511235778385216
256;0.0
257;0.0
258;0.0
259;0.0
260;0.0
261;0.0
262;0.0
263;0.0
264;0.0
265;0.0
266;0.0
267;0.0
268;0.0
269;0.0
270;0.0
271;0.0
272;0.0
273;0.07191815913473866
274;0.10137370218332034
275;0.20909897544635164
276;0.225778808044092
277;0.24020962818910588
278;0.04809860296889565
279;0.4450553668255755
280;0.0
281;0.0
282;0.0
283;0.0
284;0.0
285;0.0
286;0.0
287;0.0
288;0.0
289;0.0
290;0.0
291;0.0
292;0.0
293;0.0
294;0.0
295;0.0
296;0.0
297;0.04526822452033453
298;0.07293475110178568
299;0.0797240917166915
300;0.1677657041642255
301;0.22294158800342992
302;0.09306992365832728
303;0.04947907844051065
304;0.0
305;0.0
306;0.0
307;0.0
308;0.0
309;0.0
310;0.0
311;0.0
312;0.0
313;0.0
314;0.0
315;0.0
316;0.0
317;0.0
318;0.0
319;0.0
320;0.0
321;0.8780571508173092
322;2.9961710410458413
323;4.942926888502263
324;6.923589779833221
325;7.707933594272918
326;7.059782559475166
327;8.49516199628222
328;0.0
329;0.0
330;0.0
331;0.0
332;0.0
333;0.0
334;0.0
335;0.0
336;0.0
337;0.0
338;0.0
339;0.0
340;0.0
341;0.0
342;0.0
343;0.0
344;0.0
345;0.1577331153028801
346;0.5095155081349608
347;0.4181553150205394
348;0.4214748225341556
349;0.2247674227438623
350;0.1625267861283473
351;7.786530342375612e-05
352;0.0
353;0.0
354;0.0
355;0.0
356;0.0
357;0.0
358;0.0
359;0.0
360;0.0
361;0.0
362;0.0
363;0.0
364;0.0
365;0.0
366;0.0
367;0.0
368;0.0
369;0.04538700932445792
370;0.16167494973141444
371;0.4045600036234975
372;0.24928265898876667
373;0.1486135657808117
374;0.11491817432478826
375;0.036118472979851324
376;0.0
377;0.0
378;0.0
379;0.0
380;0.0
381;0.0
382;0.0
383;0.0
384;0.0
385;0.0
386;0.0
387;0.0
388;0.0
389;0.0
390;0.0
391;0.0
392;0.0
393;0.5187819850477564
394;1.1887435402794937
395;2.8875885120655687
396;3.0433942256511344
397;3.7201352091282502
398;2.229975449049651
399;0.8519993481872389
400;0.0
401;0.0
402;0.0
403;0.0
404;0.0
405;0.0
406;0.0
407;0.0
408;0.0
409;0.0
410;0.0
411;0.0
412;0.0
413;0.0
414;0.0
415;0.0
416;0.0
417;1.1126858123785308
418;3.7774405255037444
419;5.869741726587747
420;6.524668903885211
421;9.534974813679986
422;9.22442561591678
423;6.54433154016106
424;0.0
425;0.0
426;0.0
427;0.0
428;0.0
429;0.0
430;0.0
431;0.0
432;0.0
433;0.0
434;0.0
435;0.0
436;0.0
437;0.0
438;0.0
439;0.0
440;0.0
441;1.0960300939159833
442;4.137621453108318
443;7.563312015142961
444;9.606157657299198
445;9.588329873744618
446;10.81211946848495
447;10.837141983839267
448;0.0
449;0.0
450;0.0
451;0.0
452;0.0
453;0.0
454;0.0
455;0.0
456;0.0
457;0.0
458;0.0
459;0.0
460;0.0
461;0.0
462;0.0
463;0.0
464;0.0
465;1.250236906199003
466;4.307940006964239
467;7.533880128014041
468;10.676197984912054
