id;household_demand;commercial_demand;industrial_demand;heat_demand
194;11601.44301;12276.93263;39808.65805;24112.25751
195;9551.718094;11020.68835;40077.33291;31255.40321
196;8875.308872;10316.43021;40077.33291;44982.18455
197;8875.308872;11020.68835;36853.23463;50000
198;9203.264858;13514.14288;36002.43091;47389.49171
199;12626.30547;14580.04711;37927.93406;44281.28207
200;23038.90802;16369.2435;43883.56006;41661.88626
201;27814.76707;24192.21917;47645.00807;38936.64811
202;28142.72305;38068.00812;58750.23551;37513.43228
203;27630.29183;40371.12262;58750.23551;36402.89572
204;26789.90461;41265.72081;61213.08837;35590.4952
205;28142.72305;41969.97896;63093.81238;36323.71595
206;31729.74165;36811.76386;61750.43809;36897.76923
207;28142.72305;31653.54876;60138.38894;39171.35955
208;24904.15769;32015.19483;59601.03923;41536.24898
209;22342.00155;35041.60148;59869.71408;42599.52007
210;21829.57033;34508.64936;59601.03923;43187.71259
211;25580.56692;33252.4051;61213.08837;42656.07705
212;32242.17288;23468.92701;60944.41352;38413.49611
213;36177.64471;17777.7598;55257.46236;30110.12451
214;33103.05734;17244.80768;53600.63407;22799.73176
215;31217.31042;15836.29138;47376.33321;18507.0575
216;25252.61092;15474.6453;44152.23492;19784.03316
217;17750.61774;14408.74108;41420.7072;21347.02551
218;11601.44301;12276.93263;39808.65805;24112.25751
219;9551.718094;11020.68835;40077.33291;31255.40321
220;8875.308872;10316.43021;40077.33291;44982.18455
221;8875.308872;11020.68835;36853.23463;50000
222;9203.264858;13514.14288;36002.43091;47389.49171
223;12626.30547;14580.04711;37927.93406;44281.28207
224;23038.90802;16369.2435;43883.56006;41661.88626
225;27814.76707;24192.21917;47645.00807;38936.64811
226;28142.72305;38068.00812;58750.23551;37513.43228
227;27630.29183;40371.12262;58750.23551;36402.89572
228;26789.90461;41265.72081;61213.08837;35590.4952
229;28142.72305;41969.97896;63093.81238;36323.71595
230;31729.74165;36811.76386;61750.43809;36897.76923
231;28142.72305;31653.54876;60138.38894;39171.35955
232;24904.15769;32015.19483;59601.03923;41536.24898
233;22342.00155;35041.60148;59869.71408;42599.52007
234;21829.57033;34508.64936;59601.03923;43187.71259
235;25580.56692;33252.4051;61213.08837;42656.07705
236;32242.17288;23468.92701;60944.41352;38413.49611
237;36177.64471;17777.7598;55257.46236;30110.12451
238;33103.05734;17244.80768;53600.63407;22799.73176
239;31217.31042;15836.29138;47376.33321;18507.0575
240;25252.61092;15474.6453;44152.23492;19784.03316
241;17750.61774;14408.74108;41420.7072;21347.02551
242;11601.44301;12276.93263;39808.65805;24112.25751
243;9551.718094;11020.68835;40077.33291;31255.40321
244;8875.308872;10316.43021;40077.33291;44982.18455
245;8875.308872;11020.68835;36853.23463;50000
246;9203.264858;13514.14288;36002.43091;47389.49171
247;12626.30547;14580.04711;37927.93406;44281.28207
248;23038.90802;16369.2435;43883.56006;41661.88626
249;27814.76707;24192.21917;47645.00807;38936.64811
250;28142.72305;38068.00812;58750.23551;37513.43228
251;27630.29183;40371.12262;58750.23551;36402.89572
252;26789.90461;41265.72081;61213.08837;35590.4952
253;28142.72305;41969.97896;63093.81238;36323.71595
254;31729.74165;36811.76386;61750.43809;36897.76923
255;28142.72305;31653.54876;60138.38894;39171.35955
256;24904.15769;32015.19483;59601.03923;41536.24898
257;22342.00155;35041.60148;59869.71408;42599.52007
258;21829.57033;34508.64936;59601.03923;43187.71259
259;25580.56692;33252.4051;61213.08837;42656.07705
260;32242.17288;23468.92701;60944.41352;38413.49611
261;36177.64471;17777.7598;55257.46236;30110.12451
262;33103.05734;17244.80768;53600.63407;22799.73176
263;31217.31042;15836.29138;47376.33321;18507.0575
264;25252.61092;15474.6453;44152.23492;19784.03316
265;17750.61774;14408.74108;41420.7072;21347.02551
266;11601.44301;12276.93263;39808.65805;24112.25751
267;9551.718094;11020.68835;40077.33291;31255.40321
268;8875.308872;10316.43021;40077.33291;44982.18455
269;8875.308872;11020.68835;36853.23463;50000
270;9203.264858;13514.14288;36002.43091;47389.49171
271;12626.30547;14580.04711;37927.93406;44281.28207
272;23038.90802;16369.2435;43883.56006;41661.88626
273;27814.76707;24192.21917;47645.00807;38936.64811
274;28142.72305;38068.00812;58750.23551;37513.43228
275;27630.29183;40371.12262;58750.23551;36402.89572
276;26789.90461;41265.72081;61213.08837;35590.4952
277;28142.72305;41969.97896;63093.81238;36323.71595
278;31729.74165;36811.76386;61750.43809;36897.76923
279;28142.72305;31653.54876;60138.38894;39171.35955
280;24904.15769;32015.19483;59601.03923;41536.24898
281;22342.00155;35041.60148;59869.71408;42599.52007
282;21829.57033;34508.64936;59601.03923;43187.71259
283;25580.56692;33252.4051;61213.08837;42656.07705
284;32242.17288;23468.92701;60944.41352;38413.49611
285;36177.64471;17777.7598;55257.46236;30110.12451
286;33103.05734;17244.80768;53600.63407;22799.73176
287;31217.31042;15836.29138;47376.33321;18507.0575
288;25252.61092;15474.6453;44152.23492;19784.03316
289;17750.61774;14408.74108;41420.7072;21347.02551
290;11601.44301;12276.93263;39808.65805;24112.25751
291;9551.718094;11020.68835;40077.33291;31255.40321
292;8875.308872;10316.43021;40077.33291;44982.18455
293;8875.308872;11020.68835;36853.23463;50000
294;9203.264858;13514.14288;36002.43091;47389.49171
295;12626.30547;14580.04711;37927.93406;44281.28207
296;23038.90802;16369.2435;43883.56006;41661.88626
297;27814.76707;24192.21917;47645.00807;38936.64811
298;28142.72305;38068.00812;58750.23551;37513.43228
299;27630.29183;40371.12262;58750.23551;36402.89572
300;26789.90461;41265.72081;61213.08837;35590.4952
301;28142.72305;41969.97896;63093.81238;36323.71595
302;31729.74165;36811.76386;61750.43809;36897.76923
303;28142.72305;31653.54876;60138.38894;39171.35955
304;24904.15769;32015.19483;59601.03923;41536.24898
305;22342.00155;35041.60148;59869.71408;42599.52007
306;21829.57033;34508.64936;59601.03923;43187.71259
307;25580.56692;33252.4051;61213.08837;42656.07705
308;32242.17288;23468.92701;60944.41352;38413.49611
309;36177.64471;17777.7598;55257.46236;30110.12451
310;33103.05734;17244.80768;53600.63407;22799.73176
311;31217.31042;15836.29138;47376.33321;18507.0575
312;25252.61092;15474.6453;44152.23492;19784.03316
313;17750.61774;14408.74108;41420.7072;21347.02551
314;11601.44301;12276.93263;39808.65805;24112.25751
315;9551.718094;11020.68835;40077.33291;31255.40321
316;8875.308872;10316.43021;40077.33291;44982.18455
317;8875.308872;11020.68835;36853.23463;50000
318;9203.264858;13514.14288;36002.43091;47389.49171
319;12626.30547;14580.04711;37927.93406;44281.28207
320;23038.90802;16369.2435;43883.56006;41661.88626
321;27814.76707;24192.21917;47645.00807;38936.64811
322;28142.72305;38068.00812;58750.23551;37513.43228
323;27630.29183;40371.12262;58750.23551;36402.89572
324;26789.90461;41265.72081;61213.08837;35590.4952
325;28142.72305;41969.97896;63093.81238;36323.71595
326;31729.74165;36811.76386;61750.43809;36897.76923
327;28142.72305;31653.54876;60138.38894;39171.35955
328;24904.15769;32015.19483;59601.03923;41536.24898
329;22342.00155;35041.60148;59869.71408;42599.52007
330;21829.57033;34508.64936;59601.03923;43187.71259
331;25580.56692;33252.4051;61213.08837;42656.07705
332;32242.17288;23468.92701;60944.41352;38413.49611
333;36177.64471;17777.7598;55257.46236;30110.12451
334;33103.05734;17244.80768;53600.63407;22799.73176
335;31217.31042;15836.29138;47376.33321;18507.0575
336;25252.61092;15474.6453;44152.23492;19784.03316
337;17750.61774;14408.74108;41420.7072;21347.02551
338;11601.44301;12276.93263;39808.65805;24112.25751
339;9551.718094;11020.68835;40077.33291;31255.40321
340;8875.308872;10316.43021;40077.33291;44982.18455
341;8875.308872;11020.68835;36853.23463;50000
342;9203.264858;13514.14288;36002.43091;47389.49171
343;12626.30547;14580.04711;37927.93406;44281.28207
344;23038.90802;16369.2435;43883.56006;41661.88626
345;27814.76707;24192.21917;47645.00807;38936.64811
346;28142.72305;38068.00812;58750.23551;37513.43228
347;27630.29183;40371.12262;58750.23551;36402.89572
348;26789.90461;41265.72081;61213.08837;35590.4952
349;28142.72305;41969.97896;63093.81238;36323.71595
350;31729.74165;36811.76386;61750.43809;36897.76923
351;28142.72305;31653.54876;60138.38894;39171.35955
352;24904.15769;32015.19483;59601.03923;41536.24898
353;22342.00155;35041.60148;59869.71408;42599.52007
354;21829.57033;34508.64936;59601.03923;43187.71259
355;25580.56692;33252.4051;61213.08837;42656.07705
356;32242.17288;23468.92701;60944.41352;38413.49611
357;36177.64471;17777.7598;55257.46236;30110.12451
358;33103.05734;17244.80768;53600.63407;22799.73176
359;31217.31042;15836.29138;47376.33321;18507.0575
360;25252.61092;15474.6453;44152.23492;19784.03316
361;17750.61774;14408.74108;41420.7072;21347.02551
362;11601.44301;12276.93263;39808.65805;24112.25751
363;9551.718094;11020.68835;40077.33291;31255.40321
364;8875.308872;10316.43021;40077.33291;44982.18455
365;8875.308872;11020.68835;36853.23463;50000
366;9203.264858;13514.14288;36002.43091;47389.49171
367;12626.30547;14580.04711;37927.93406;44281.28207
368;23038.90802;16369.2435;43883.56006;41661.88626
369;27814.76707;24192.21917;47645.00807;38936.64811
370;28142.72305;38068.00812;58750.23551;37513.43228
371;27630.29183;40371.12262;58750.23551;36402.89572
372;26789.90461;41265.72081;61213.08837;35590.4952
373;28142.72305;41969.97896;63093.81238;36323.71595
374;31729.74165;36811.76386;61750.43809;36897.76923
375;28142.72305;31653.54876;60138.38894;39171.35955
376;24904.15769;32015.19483;59601.03923;41536.24898
377;22342.00155;35041.60148;59869.71408;42599.52007
378;21829.57033;34508.64936;59601.03923;43187.71259
379;25580.56692;33252.4051;61213.08837;42656.07705
380;32242.17288;23468.92701;60944.41352;38413.49611
381;36177.64471;17777.7598;55257.46236;30110.12451
382;33103.05734;17244.80768;53600.63407;22799.73176
383;31217.31042;15836.29138;47376.33321;18507.0575
384;25252.61092;15474.6453;44152.23492;19784.03316
385;17750.61774;14408.74108;41420.7072;21347.02551
386;11601.44301;12276.93263;39808.65805;24112.25751
387;9551.718094;11020.68835;40077.33291;31255.40321
388;8875.308872;10316.43021;40077.33291;44982.18455
389;8875.308872;11020.68835;36853.23463;50000
390;9203.264858;13514.14288;36002.43091;47389.49171
391;12626.30547;14580.04711;37927.93406;44281.28207
392;23038.90802;16369.2435;43883.56006;41661.88626
393;27814.76707;24192.21917;47645.00807;38936.64811
394;28142.72305;38068.00812;58750.23551;37513.43228
395;27630.29183;40371.12262;58750.23551;36402.89572
396;26789.90461;41265.72081;61213.08837;35590.4952
397;28142.72305;41969.97896;63093.81238;36323.71595
398;31729.74165;36811.76386;61750.43809;36897.76923
399;28142.72305;31653.54876;60138.38894;39171.35955
400;24904.15769;32015.19483;59601.03923;41536.24898
401;22342.00155;35041.60148;59869.71408;42599.52007
402;21829.57033;34508.64936;59601.03923;43187.71259
403;25580.56692;33252.4051;61213.08837;42656.07705
404;32242.17288;23468.92701;60944.41352;38413.49611
405;36177.64471;17777.7598;55257.46236;30110.12451
406;33103.05734;17244.80768;53600.63407;22799.73176
407;31217.31042;15836.29138;47376.33321;18507.0575
408;25252.61092;15474.6453;44152.23492;19784.03316
409;17750.61774;14408.74108;41420.7072;21347.02551
410;11601.44301;12276.93263;39808.65805;24112.25751
411;9551.718094;11020.68835;40077.33291;31255.40321
412;8875.308872;10316.43021;40077.33291;44982.18455
413;8875.308872;11020.68835;36853.23463;50000
414;9203.264858;13514.14288;36002.43091;47389.49171
415;12626.30547;14580.04711;37927.93406;44281.28207
416;23038.90802;16369.2435;43883.56006;41661.88626
417;27814.76707;24192.21917;47645.00807;38936.64811
418;28142.72305;38068.00812;58750.23551;37513.43228
419;27630.29183;40371.12262;58750.23551;36402.89572
420;26789.90461;41265.72081;61213.08837;35590.4952
421;28142.72305;41969.97896;63093.81238;36323.71595
422;31729.74165;36811.76386;61750.43809;36897.76923
423;28142.72305;31653.54876;60138.38894;39171.35955
424;24904.15769;32015.19483;59601.03923;41536.24898
425;22342.00155;35041.60148;59869.71408;42599.52007
426;21829.57033;34508.64936;59601.03923;43187.71259
427;25580.56692;33252.4051;61213.08837;42656.07705
428;32242.17288;23468.92701;60944.41352;38413.49611
429;36177.64471;17777.7598;55257.46236;30110.12451
430;33103.05734;17244.80768;53600.63407;22799.73176
431;31217.31042;15836.29138;47376.33321;18507.0575
432;25252.61092;15474.6453;44152.23492;19784.03316
433;17750.61774;14408.74108;41420.7072;21347.02551
434;11601.44301;12276.93263;39808.65805;24112.25751
435;9551.718094;11020.68835;40077.33291;31255.40321
436;8875.308872;10316.43021;40077.33291;44982.18455
437;8875.308872;11020.68835;36853.23463;50000
438;9203.264858;13514.14288;36002.43091;47389.49171
439;12626.30547;14580.04711;37927.93406;44281.28207
440;23038.90802;16369.2435;43883.56006;41661.88626
441;27814.76707;24192.21917;47645.00807;38936.64811
442;28142.72305;38068.00812;58750.23551;37513.43228
443;27630.29183;40371.12262;58750.23551;36402.89572
444;26789.90461;41265.72081;61213.08837;35590.4952
445;28142.72305;41969.97896;63093.81238;36323.71595
446;31729.74165;36811.76386;61750.43809;36897.76923
447;28142.72305;31653.54876;60138.38894;39171.35955
448;24904.15769;32015.19483;59601.03923;41536.24898
449;22342.00155;35041.60148;59869.71408;42599.52007
450;21829.57033;34508.64936;59601.03923;43187.71259
451;25580.56692;33252.4051;61213.08837;42656.07705
452;32242.17288;23468.92701;60944.41352;38413.49611
453;36177.64471;17777.7598;55257.46236;30110.12451
454;33103.05734;17244.80768;53600.63407;22799.73176
455;31217.31042;15836.29138;47376.33321;18507.0575
456;25252.61092;15474.6453;44152.23492;19784.03316
457;17750.61774;14408.74108;41420.7072;21347.02551
458;11601.44301;12276.93263;39808.65805;24112.25751
459;9551.718094;11020.68835;40077.33291;31255.40321
460;8875.308872;10316.43021;40077.33291;44982.18455
461;8875.308872;11020.68835;36853.23463;50000
462;9203.264858;13514.14288;36002.43091;47389.49171
463;12626.30547;14580.04711;37927.93406;44281.28207
464;23038.90802;16369.2435;43883.56006;41661.88626
465;27814.76707;24192.21917;47645.00807;38936.64811
466;28142.72305;38068.00812;58750.23551;37513.43228
467;27630.29183;40371.12262;58750.23551;36402.89572
468;26789.90461;41265.72081;61213.08837;35590.4952
469;28142.72305;41969.97896;63093.81238;36323.71595
470;31729.74165;36811.76386;61750.43809;36897.76923
471;28142.72305;31653.54876;60138.38894;39171.35955
472;24904.15769;32015.19483;59601.03923;41536.24898
473;22342.00155;35041.60148;59869.71408;42599.52007
474;21829.57033;34508.64936;59601.03923;43187.71259
475;25580.56692;33252.4051;61213.08837;42656.07705
476;32242.17288;23468.92701;60944.41352;38413.49611
477;36177.64471;17777.7598;55257.46236;30110.12451
478;33103.05734;17244.80768;53600.63407;22799.73176
479;31217.31042;15836.29138;47376.33321;18507.0575
480;25252.61092;15474.6453;44152.23492;19784.03316
481;17750.61774;14408.74108;41420.7072;21347.02551
482;11601.44301;12276.93263;39808.65805;24112.25751
483;9551.718094;11020.68835;40077.33291;31255.40321
484;8875.308872;10316.43021;40077.33291;44982.18455
485;8875.308872;11020.68835;36853.23463;50000
486;9203.264858;13514.14288;36002.43091;47389.49171
487;12626.30547;14580.04711;37927.93406;44281.28207
488;23038.90802;16369.2435;43883.56006;41661.88626
489;27814.76707;24192.21917;47645.00807;38936.64811
490;28142.72305;38068.00812;58750.23551;37513.43228
491;27630.29183;40371.12262;58750.23551;36402.89572
492;26789.90461;41265.72081;61213.08837;35590.4952
493;28142.72305;41969.97896;63093.81238;36323.71595
494;31729.74165;36811.76386;61750.43809;36897.76923
495;28142.72305;31653.54876;60138.38894;39171.35955
496;24904.15769;32015.19483;59601.03923;41536.24898
497;22342.00155;35041.60148;59869.71408;42599.52007
498;21829.57033;34508.64936;59601.03923;43187.71259
499;25580.56692;33252.4051;61213.08837;42656.07705
500;32242.17288;23468.92701;60944.41352;38413.49611
501;36177.64471;17777.7598;55257.46236;30110.12451
502;33103.05734;17244.80768;53600.63407;22799.73176
503;31217.31042;15836.29138;47376.33321;18507.0575
504;25252.61092;15474.6453;44152.23492;19784.03316
505;17750.61774;14408.74108;41420.7072;21347.02551
506;11601.44301;12276.93263;39808.65805;24112.25751
507;9551.718094;11020.68835;40077.33291;31255.40321
508;8875.308872;10316.43021;40077.33291;44982.18455
509;8875.308872;11020.68835;36853.23463;50000
510;9203.264858;13514.14288;36002.43091;47389.49171
511;12626.30547;14580.04711;37927.93406;44281.28207
512;23038.90802;16369.2435;43883.56006;41661.88626
513;27814.76707;24192.21917;47645.00807;38936.64811
514;28142.72305;38068.00812;58750.23551;37513.43228
515;27630.29183;40371.12262;58750.23551;36402.89572
516;26789.90461;41265.72081;61213.08837;35590.4952
517;28142.72305;41969.97896;63093.81238;36323.71595
518;31729.74165;36811.76386;61750.43809;36897.76923
519;28142.72305;31653.54876;60138.38894;39171.35955
520;24904.15769;32015.19483;59601.03923;41536.24898
521;22342.00155;35041.60148;59869.71408;42599.52007
522;21829.57033;34508.64936;59601.03923;43187.71259
523;25580.56692;33252.4051;61213.08837;42656.07705
524;32242.17288;23468.92701;60944.41352;38413.49611
525;36177.64471;17777.7598;55257.46236;30110.12451
526;33103.05734;17244.80768;53600.63407;22799.73176
527;31217.31042;15836.29138;47376.33321;18507.0575
528;25252.61092;15474.6453;44152.23492;19784.03316
529;17750.61774;14408.74108;41420.7072;21347.02551
530;11601.44301;12276.93263;39808.65805;24112.25751
531;9551.718094;11020.68835;40077.33291;31255.40321
532;8875.308872;10316.43021;40077.33291;44982.18455
533;8875.308872;11020.68835;36853.23463;50000
534;9203.264858;13514.14288;36002.43091;47389.49171
535;12626.30547;14580.04711;37927.93406;44281.28207
536;23038.90802;16369.2435;43883.56006;41661.88626
537;27814.76707;24192.21917;47645.00807;38936.64811
