Unnamed: 0;Time;el_demand;th_demand;pv;wind_on;wind_off
64;2019-01-03 16:00:00;1319.7;199.82322;0.0009;0.145404;0.217725
65;2019-01-03 17:00:00;1384.2;201.269289;0.0;0.17068799999999998;0.20295000000000002
66;2019-01-03 18:00:00;1383.18;200.841729;0.0;0.176568;0.20715
67;2019-01-03 19:00:00;1341.56;195.19946399999998;0.0;0.170016;0.25095
68;2019-01-03 20:00:00;1269.56;176.050884;0.0;0.16632;0.24675000000000002
69;2019-01-03 21:00:00;1213.26;136.474098;0.0;0.15834;0.19469999999999998
70;2019-01-03 22:00:00;1167.0;108.93159899999999;0.0;0.138012;0.19372499999999998
71;2019-01-03 23:00:00;1101.74;84.637029;0.0;0.126168;0.2004
72;2019-01-04 00:00:00;1034.3600000000001;89.523429;0.0;0.121968;0.24614999999999998
73;2019-01-04 01:00:00;983.14;91.371099;0.0;0.137928;0.3537
74;2019-01-04 02:00:00;971.88;100.821702;0.0;0.152544;0.49177499999999996
75;2019-01-04 03:00:00;972.86;123.93132;0.0;0.174384;0.584325
76;2019-01-04 04:00:00;988.1800000000001;170.756775;0.0;0.20328;0.63405
77;2019-01-04 05:00:00;1029.04;208.31333999999998;0.0;0.23478000000000002;0.6353249999999999
78;2019-01-04 06:00:00;1132.8600000000001;202.428282;0.0;0.266616;0.6252
79;2019-01-04 07:00:00;1248.02;194.95209;0.0;0.305172;0.626475
80;2019-01-04 08:00:00;1311.68;182.297841;0.0018;0.332304;0.5778749999999999
81;2019-01-04 09:00:00;1348.08;171.758487;0.0147;0.347424;0.56655
82;2019-01-04 10:00:00;1363.46;163.727994;0.0325;0.370776;0.5643
83;2019-01-04 11:00:00;1379.94;159.06148199999998;0.045;0.40193999999999996;0.555525
84;2019-01-04 12:00:00;1389.38;156.671727;0.0441;0.434364;0.558675
85;2019-01-04 13:00:00;1371.74;158.714853;0.0352;0.45528;0.5488500000000001
86;2019-01-04 14:00:00;1342.44;161.758164;0.0208;0.45192;0.51825
87;2019-01-04 15:00:00;1336.3600000000001;168.78847199999998;0.0066;0.447132;0.50895
88;2019-01-04 16:00:00;1362.08;175.595838;0.0004;0.452256;0.5208
89;2019-01-04 17:00:00;1396.02;178.57959599999998;0.0;0.45830399999999993;0.5444249999999999
90;2019-01-04 18:00:00;1382.1000000000001;178.62693299999998;0.0;0.4536;0.5562750000000001
91;2019-01-04 19:00:00;1332.28;173.566455;0.0;0.44436000000000003;0.5705250000000001
92;2019-01-04 20:00:00;1241.96;156.39228599999998;0.0;0.4381439999999999;0.5754
93;2019-01-04 21:00:00;1186.1000000000001;120.193224;0.0;0.437976;0.575475
94;2019-01-04 22:00:00;1155.88;94.365546;0.0;0.4415879999999999;0.578025
95;2019-01-04 23:00:00;1073.28;79.423851;0.0;0.46519199999999994;0.58065
96;2019-01-05 00:00:00;1015.6;83.51163;0.0;0.484848;0.5721
97;2019-01-05 01:00:00;975.72;85.429542;0.0;0.49643999999999994;0.5672999999999999
98;2019-01-05 02:00:00;952.98;95.71694099999999;0.0;0.5159279999999999;0.5502750000000001
99;2019-01-05 03:00:00;942.74;120.298587;0.0;0.535164;0.5427
100;2019-01-05 04:00:00;958.4200000000001;169.312233;0.0;0.551376;0.5228250000000001
101;2019-01-05 05:00:00;955.34;201.962547;0.0;0.5429759999999999;0.538875
102;2019-01-05 06:00:00;968.4;193.79615099999998;0.0;0.5532239999999999;0.5376
103;2019-01-05 07:00:00;1003.22;184.40052;0.0;0.527352;0.55665
104;2019-01-05 08:00:00;1072.42;172.181466;0.0014;0.502236;0.53775
105;2019-01-05 09:00:00;1130.66;159.95325;0.0078;0.48047999999999996;0.5338499999999999
106;2019-01-05 10:00:00;1182.34;155.118768;0.0188;0.45427199999999995;0.5295749999999999
107;2019-01-05 11:00:00;1214.58;150.436986;0.0304;0.433356;0.506925
108;2019-01-05 12:00:00;1216.52;144.13352999999998;0.0345;0.410004;0.487275
109;2019-01-05 13:00:00;1189.1200000000001;143.133345;0.028;0.394884;0.49784999999999996
110;2019-01-05 14:00:00;1162.6200000000001;148.065555;0.0167;0.369264;0.4992
111;2019-01-05 15:00:00;1158.4;156.625917;0.0052;0.339864;0.561675
112;2019-01-05 16:00:00;1176.94;166.29640799999999;0.0002;0.32835600000000004;0.5553750000000001
113;2019-01-05 17:00:00;1231.9;171.013311;0.0;0.321804;0.5471250000000001
114;2019-01-05 18:00:00;1228.66;170.828544;0.0;0.316176;0.5649
115;2019-01-05 19:00:00;1195.82;167.278269;0.0;0.30029999999999996;0.5609999999999999
116;2019-01-05 20:00:00;1121.32;150.644658;0.0;0.289968;0.608625
117;2019-01-05 21:00:00;1070.5;117.375909;0.0;0.279384;0.6141
118;2019-01-05 22:00:00;1046.8;90.10826999999999;0.0;0.261324;0.59595
119;2019-01-05 23:00:00;974.0600000000001;83.757477;0.0;0.24746399999999996;0.62025
120;2019-01-06 00:00:00;911.8000000000001;91.90096799999999;0.0;0.23671199999999998;0.5985750000000001
121;2019-01-06 01:00:00;870.7;88.61180999999999;0.0;0.22209600000000002;0.5761499999999999
122;2019-01-06 02:00:00;843.62;99.45961799999999;0.0;0.206892;0.5296500000000001
123;2019-01-06 03:00:00;839.62;127.00517099999999;0.0;0.19781999999999997;0.504675
124;2019-01-06 04:00:00;838.0600000000001;180.692964;0.0;0.190008;0.465525
125;2019-01-06 05:00:00;826.0;200.902809;0.0;0.18236399999999997;0.4302
126;2019-01-06 06:00:00;818.34;189.32967599999998;0.0;0.16296;0.3828
127;2019-01-06 07:00:00;840.8000000000001;178.492557;0.0;0.14607599999999998;0.341325
128;2019-01-06 08:00:00;899.76;168.721284;0.0017;0.133476;0.3582
129;2019-01-06 09:00:00;976.24;157.974258;0.0154;0.12003599999999999;0.297525
130;2019-01-06 10:00:00;1038.66;152.783985;0.0366;0.10457999999999999;0.32655
131;2019-01-06 11:00:00;1089.94;148.538925;0.0515;0.098532;0.29864999999999997
132;2019-01-06 12:00:00;1100.66;145.678854;0.0555;0.105336;0.25125000000000003
133;2019-01-06 13:00:00;1073.46;149.15277899999998;0.0475;0.111972;0.27825
134;2019-01-06 14:00:00;1064.38;151.611249;0.0302;0.111888;0.279225
135;2019-01-06 15:00:00;1044.8;161.02673099999998;0.01;0.111888;0.321075
136;2019-01-06 16:00:00;1074.76;170.70638399999999;0.0006;0.117012;0.380625
137;2019-01-06 17:00:00;1144.02;174.177255;0.0;0.13272;0.42705000000000004
138;2019-01-06 18:00:00;1162.14;175.339302;0.0;0.144984;0.4491
139;2019-01-06 19:00:00;1133.26;173.02131599999998;0.0;0.151536;0.46192500000000003
140;2019-01-06 20:00:00;1087.42;155.422641;0.0;0.152544;0.3801
141;2019-01-06 21:00:00;1048.8600000000001;122.45471099999999;0.0;0.151536;0.371025
142;2019-01-06 22:00:00;1044.98;94.264764;0.0;0.14170799999999997;0.44355
143;2019-01-06 23:00:00;989.94;87.18406499999999;0.0;0.13994399999999999;0.45765
144;2019-01-07 00:00:00;925.2;92.804952;0.0;0.15036;0.429825
145;2019-01-07 01:00:00;886.08;94.74271499999999;0.0;0.16161599999999998;0.372675
146;2019-01-07 02:00:00;873.82;105.964638;0.0;0.17161200000000001;0.3498
147;2019-01-07 03:00:00;885.74;131.221218;0.0;0.178164;0.303975
148;2019-01-07 04:00:00;924.0;179.54466;0.0;0.178752;0.322125
149;2019-01-07 05:00:00;1012.98;214.807671;0.0;0.18085199999999998;0.357825
150;2019-01-07 06:00:00;1190.84;208.83252;0.0;0.18001199999999998;0.2955
151;2019-01-07 07:00:00;1325.22;199.771302;0.0;0.169848;0.18975
152;2019-01-07 08:00:00;1379.2;187.10178299999998;0.0015;0.16077599999999997;0.1326
153;2019-01-07 09:00:00;1384.94;175.89513;0.0138;0.14994;0.113625
154;2019-01-07 10:00:00;1409.38;166.470486;0.0322;0.144984;0.19927499999999998
155;2019-01-07 11:00:00;1427.2;162.975183;0.0451;0.15565199999999998;0.373125
156;2019-01-07 12:00:00;1417.22;160.226583;0.0482;0.182112;0.530475
157;2019-01-07 13:00:00;1416.54;161.57950499999998;0.0418;0.207648;0.62055
158;2019-01-07 14:00:00;1407.06;165.12061799999998;0.0266;0.232344;0.6486000000000001
159;2019-01-07 15:00:00;1395.56;173.740533;0.0092;0.272496;0.632325
160;2019-01-07 16:00:00;1411.64;181.53892199999999;0.0007;0.322896;0.62775
161;2019-01-07 17:00:00;1459.66;186.170313;0.0;0.39127199999999995;0.554025
162;2019-01-07 18:00:00;1445.42;186.663534;0.0;0.45914399999999994;0.5577000000000001
163;2019-01-07 19:00:00;1396.52;181.062498;0.0;0.519876;0.612
164;2019-01-07 20:00:00;1335.46;162.938535;0.0;0.583464;0.639075
165;2019-01-07 21:00:00;1277.8;124.88874899999999;0.0;0.6294959999999999;0.57525
166;2019-01-07 22:00:00;1222.48;97.23935999999999;0.0;0.6251279999999999;0.53325
167;2019-01-07 23:00:00;1148.88;95.990274;0.0;0.640416;0.53355
168;2019-01-08 00:00:00;1075.1;101.130156;0.0;0.6471359999999999;0.521025
169;2019-01-08 01:00:00;1035.8;103.300023;0.0;0.643524;0.527925
170;2019-01-08 02:00:00;1024.34;114.115764;0.0;0.644616;0.514725
171;2019-01-08 03:00:00;1035.84;138.61800599999998;0.0;0.648648;0.51615
172;2019-01-08 04:00:00;1069.66;190.232133;0.0;0.650748;0.46514999999999995
173;2019-01-08 05:00:00;1130.7;227.518419;0.0;0.6548639999999999;0.44377500000000003
174;2019-01-08 06:00:00;1283.72;221.350866;0.0;0.684768;0.45262500000000006
175;2019-01-08 07:00:00;1407.74;213.860931;0.0;0.706356;0.40102499999999996
176;2019-01-08 08:00:00;1458.26;200.924187;0.0018;0.71946;0.3861
177;2019-01-08 09:00:00;1464.64;189.17850299999998;0.0158;0.734076;0.42855
178;2019-01-08 10:00:00;1472.3;180.370767;0.0381;0.7334879999999999;0.4947
179;2019-01-08 11:00:00;1479.3;175.678296;0.0544;0.735336;0.503775
180;2019-01-08 12:00:00;1481.24;173.899341;0.0632;0.7420559999999999;0.517425
181;2019-01-08 13:00:00;1472.4;175.575987;0.0577;0.735756;0.5372250000000001
182;2019-01-08 14:00:00;1451.9;178.978143;0.0374;0.7199639999999999;0.62415
183;2019-01-08 15:00:00;1448.56;186.880368;0.0135;0.715428;0.6456
184;2019-01-08 16:00:00;1466.8;194.29548;0.001;0.723744;0.6258
185;2019-01-08 17:00:00;1501.1200000000001;196.121772;0.0;0.721224;0.63105
186;2019-01-08 18:00:00;1491.14;196.195068;0.0;0.710976;0.65955
187;2019-01-08 19:00:00;1457.88;190.795596;0.0;0.7090439999999999;0.6612
188;2019-01-08 20:00:00;1387.04;171.918822;0.0;0.702996;0.663225
189;2019-01-08 21:00:00;1313.22;132.393954;0.0;0.6955199999999999;0.6518999999999999
190;2019-01-08 22:00:00;1245.46;104.827023;0.0;0.662928;0.6615
191;2019-01-08 23:00:00;1178.26;101.63712;0.0;0.6540239999999999;0.6110249999999999
192;2019-01-09 00:00:00;1091.1200000000001;106.725084;0.0;0.6473880000000001;0.591
193;2019-01-09 01:00:00;1062.28;109.14996;0.0;0.630168;0.518925
194;2019-01-09 02:00:00;1048.18;119.866446;0.0;0.6195;0.5175
195;2019-01-09 03:00:00;1061.0;143.947236;0.0;0.6134519999999999;0.5168250000000001
196;2019-01-09 04:00:00;1090.8600000000001;197.43804599999999;0.0;0.607236;0.5172
197;2019-01-09 05:00:00;1148.7;235.823772;0.0;0.591696;0.515925
198;2019-01-09 06:00:00;1288.74;229.26530699999998;0.0;0.585984;0.573225
199;2019-01-09 07:00:00;1411.82;221.859357;0.0;0.5745600000000001;0.6654
200;2019-01-09 08:00:00;1464.56;209.547156;0.0016;0.563808;0.704175
201;2019-01-09 09:00:00;1469.16;197.94501;0.0163;0.552384;0.70695
202;2019-01-09 10:00:00;1494.54;188.929602;0.0408;0.5480999999999999;0.7072499999999999
203;2019-01-09 11:00:00;1517.72;184.09511999999998;0.0587;0.5546519999999999;0.7092
204;2019-01-09 12:00:00;1497.26;182.300895;0.059;0.558264;0.7304999999999999
205;2019-01-09 13:00:00;1499.5;183.96990599999998;0.0498;0.562296;0.7407
206;2019-01-09 14:00:00;1486.84;187.43008799999998;0.0326;0.5522999999999999;0.7407
207;2019-01-09 15:00:00;1468.3600000000001;195.643821;0.0128;0.539616;0.7406250000000001
208;2019-01-09 16:00:00;1470.22;202.664967;0.0011;0.53004;0.74595
209;2019-01-09 17:00:00;1513.76;204.20112899999998;0.0;0.507528;0.76785
210;2019-01-09 18:00:00;1496.46;203.770515;0.0;0.49879199999999996;0.766725
211;2019-01-09 19:00:00;1461.02;198.06411599999998;0.0;0.477204;0.806025
212;2019-01-09 20:00:00;1369.92;178.672743;0.0;0.444444;0.7995000000000001
213;2019-01-09 21:00:00;1299.44;138.321768;0.0;0.40025999999999995;0.7539750000000001
214;2019-01-09 22:00:00;1246.0;110.32575;0.0;0.353892;0.68265
215;2019-01-09 23:00:00;1148.24;114.87010199999999;0.0;0.32306399999999996;0.576375
216;2019-01-10 00:00:00;1096.24;119.91072899999999;0.0;0.293244;0.4551
217;2019-01-10 01:00:00;1052.76;122.65322099999999;0.0;0.2688;0.37417500000000004
218;2019-01-10 02:00:00;1033.42;132.89481;0.0;0.24351599999999998;0.2955
219;2019-01-10 03:00:00;1033.28;155.54022;0.0;0.222012;0.24195
220;2019-01-10 04:00:00;1051.32;213.126444;0.0;0.21084;0.17354999999999998
221;2019-01-10 05:00:00;1107.32;253.42702799999998;0.0;0.196728;0.10342499999999999
222;2019-01-10 06:00:00;1248.48;246.27914099999998;0.0;0.17892;0.065325
223;2019-01-10 07:00:00;1362.6000000000001;239.080863;0.0;0.156324;0.044700000000000004
224;2019-01-10 08:00:00;1418.6200000000001;228.91257;0.0018;0.135408;0.028200000000000003
225;2019-01-10 09:00:00;1415.1200000000001;217.65094499999998;0.0152;0.11239199999999999;0.026775
226;2019-01-10 10:00:00;1436.42;208.32555599999998;0.0338;0.093912;0.01515
227;2019-01-10 11:00:00;1445.72;202.77643799999998;0.0463;0.081648;0.0228
228;2019-01-10 12:00:00;1440.84;201.252492;0.0508;0.074508;0.024975000000000004
229;2019-01-10 13:00:00;1431.3600000000001;202.976475;0.0434;0.06804;0.047174999999999995
230;2019-01-10 14:00:00;1408.68;206.458035;0.0278;0.06333599999999999;0.04155
231;2019-01-10 15:00:00;1399.9;215.135976;0.01;0.059808;0.041174999999999996
232;2019-01-10 16:00:00;1400.82;221.22717899999998;0.0008;0.058128;0.05505
233;2019-01-10 17:00:00;1442.22;221.743305;0.0;0.06140399999999999;0.080625
234;2019-01-10 18:00:00;1428.44;219.98725499999998;0.0;0.067116;0.113175
235;2019-01-10 19:00:00;1402.2;213.68838;0.0;0.06972;0.161625
236;2019-01-10 20:00:00;1336.24;193.214364;0.0;0.06854400000000001;0.21000000000000002
237;2019-01-10 21:00:00;1266.8600000000001;151.626519;0.0;0.075768;0.254775
238;2019-01-10 22:00:00;1231.32;122.952513;0.0;0.088284;0.2832
239;2019-01-10 23:00:00;1158.22;134.962368;0.0;0.102144;0.31972500000000004
240;2019-01-11 00:00:00;1115.4;140.671821;0.0;0.11592000000000001;0.3348
241;2019-01-11 01:00:00;1071.98;144.417552;0.0;0.123312;0.41265
242;2019-01-11 02:00:00;1058.34;154.330836;0.0;0.131292;0.57435
243;2019-01-11 03:00:00;1063.72;179.359893;0.0;0.156324;0.676425
244;2019-01-11 04:00:00;1082.4;246.18904799999999;0.0;0.179256;0.6803250000000001
245;2019-01-11 05:00:00;1135.54;296.68235699999997;0.0;0.203028;0.698925
246;2019-01-11 06:00:00;1293.6200000000001;287.889891;0.0;0.22663199999999997;0.731175
247;2019-01-11 07:00:00;1420.94;278.70498599999996;0.0;0.24989999999999998;0.703125
248;2019-01-11 08:00:00;1476.96;267.800679;0.0017;0.261408;0.6890999999999999
249;2019-01-11 09:00:00;1485.68;256.204641;0.0076;0.270732;0.72165
250;2019-01-11 10:00:00;1500.06;245.637801;0.016;0.29181599999999996;0.711675
