,cllp,fine,omf,ppsa
2022-01-01 00:00:00,1.0,0.0,1.0,1.0
2022-01-01 01:00:00,2.0,1.0,2.0,2.0
2022-01-01 02:00:00,3.0,2.0,3.0,3.0
2022-01-01 03:00:00,4.0,3.0,4.0,4.0
