,cllp,cllp,fine,fine,omf,omf,ppsa,ppsa
Central Bus,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery
2022-01-01 00:00:00,-0.0,100.0,-0.0,100.0,-0.0,100.0,-0.0,100.0
2022-01-01 01:00:00,-0.0,0.0,-10.0,0.0,-10.0,0.0,-10.0,0.0
2022-01-01 02:00:00,-10.0,0.0,-10.0,0.0,-10.0,0.0,-10.0,0.0
2022-01-01 03:00:00,-10.0,0.0,-0.0,0.0,-0.0,0.0,-10.0,0.0
