,cllp,fine,omf,ppsa
2022-01-01 00:00:00,-10.0,-10.0,-10.0,-10.0
2022-01-01 01:00:00,-0.0,-10.0,-10.0,-10.0
2022-01-01 02:00:00,-10.0,-10.0,-10.0,-10.0
2022-01-01 03:00:00,-10.0,-0.0,-0.0,-10.0
