Time [s],cllp,fine,ppsa,omf
reading,0.2,0.2,0.2,0.2
parsing,0.3,0.2,0.2,0.2
transformation,6.7,0.1,1.9,0.0
optimization,880.7,676.4,316.1,1405.8
post_processing,6.1,3.5,2.5,3.1
result,894.0,680.5,321.0,1409.4
