IGR [€ or t_CO2],cllp,fine,omf,ppsa
capex (ppcd),41554917514,41554976118,41554977878,1132235997
costs (sim),42289121225,42289118279,42289118239,2062636560
emissions (sim),250000,250000,250000,5014819
opex (ppcd),734204228,734140364,734140364,874603138
